"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"D50","D_MiniMELF","227.076mm","35.306mm","227.076mm","35.306mm","227.076mm","37.056mm","B","-90","LL4148",
"D51","D_MiniMELF","312.801mm","73.406mm","312.801mm","73.406mm","312.801mm","75.156mm","B","-90","LL4148",
"D52","D_MiniMELF","288.925mm","73.406mm","288.925mm","73.406mm","288.925mm","75.156mm","B","-90","LL4148",
"D53","D_MiniMELF","270.002mm","73.406mm","270.002mm","73.406mm","270.002mm","75.156mm","B","-90","LL4148",
"D54","D_MiniMELF","250.952mm","73.406mm","250.952mm","73.406mm","250.952mm","75.156mm","B","-90","LL4148",
"D55","D_MiniMELF","231.902mm","73.406mm","231.902mm","73.406mm","231.902mm","75.156mm","B","-90","LL4148",
"D56","D_MiniMELF","212.852mm","73.406mm","212.852mm","73.406mm","212.852mm","75.156mm","B","-90","LL4148",
"D58","D_MiniMELF","265.176mm","35.306mm","265.176mm","35.306mm","265.176mm","37.056mm","B","-90","LL4148",
"D59","D_MiniMELF","305.689mm","54.356mm","305.689mm","54.356mm","305.689mm","56.106mm","B","-90","LL4148",
"D60","D_MiniMELF","300.736mm","35.306mm","300.736mm","35.306mm","300.736mm","37.056mm","B","-90","LL4148",
"D61","D_MiniMELF","274.701mm","54.356mm","274.701mm","54.356mm","274.701mm","56.106mm","B","-90","LL4148",
"D62","D_MiniMELF","255.651mm","54.356mm","255.651mm","54.356mm","255.651mm","56.106mm","B","-90","LL4148",
"D63","D_MiniMELF","236.601mm","54.356mm","236.601mm","54.356mm","236.601mm","56.106mm","B","-90","LL4148",
"D64","D_MiniMELF","217.551mm","54.356mm","217.551mm","54.356mm","217.551mm","56.106mm","B","-90","LL4148",
"D66","D_SMA_Handsoldering","270.415mm","30.734mm","270.415mm","30.734mm","270.415mm","33.234mm","B","-90","ss34",
"J2","Molex_CLIK-Mate_502494-0270_1x02-1MP_P2.00mm_Horizontal","30.226mm","70.485mm","30.226mm","70.485mm","27.726mm","71.485mm","B","-90","Conn_01x02_MountingPin",
"J3","Molex_CLIK-Mate_502494-0270_1x02-1MP_P2.00mm_Horizontal","295.86mm","64.389mm","295.86mm","64.389mm","298.36mm","63.389mm","B","90","Conn_01x02_MountingPin",
"L1","L_Wuerth_HCI-5040","271.78mm","23.114mm","271.78mm","23.114mm","269.73mm","23.114mm","B","0","10uH",
"Q1","SOT-23","36.195mm","81.169mm","36.195mm","81.169mm","35.245mm","82.1065mm","B","-90","Q_NMOS_GSD",
"Q2","SOT-23","34.29mm","85.614mm","34.29mm","85.614mm","35.24mm","84.6765mm","B","90","Q_PMOS_GSD",
"Q3","SOT-23","32.385mm","81.169mm","32.385mm","81.169mm","31.435mm","82.1065mm","B","-90","Q_PMOS_GSD",
"R11","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","23.495mm","22.352mm","23.495mm","22.352mm","23.495mm","23.352mm","B","-90","10K",
"R13","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","21.463mm","22.352mm","21.463mm","22.352mm","21.463mm","21.352mm","B","90","10K",
"R15","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","37.465mm","85.614mm","37.465mm","85.614mm","37.465mm","84.614mm","B","90","500k",
"R16","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","31.115mm","85.614mm","31.115mm","85.614mm","31.115mm","86.614mm","B","-90","500k",
"R17","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","277.4mm","20.574mm","277.4mm","20.574mm","276.4mm","20.574mm","B","0","1K",
"R18","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","275.59mm","37.719mm","275.59mm","37.719mm","275.59mm","38.719mm","B","-90","5.1K",
"U7","SOIC-8_3.9x4.9mm_P1.27mm","274.955mm","30.734mm","274.955mm","30.734mm","273.05mm","33.209mm","B","-90","tp5400",
"Through Hole Items ",
"S1","Cherry-MX_PCB-Mounted","44.958mm","88.011mm","44.958mm","88.011mm","41.148mm","90.551mm","T","0","Cherry_MX",
"S2","Cherry-MX_PCB-Mounted","64.008mm","88.011mm","64.008mm","88.011mm","60.198mm","90.551mm","T","0","Cherry_MX",
"S3","Cherry-MX_PCB-Mounted","82.931mm","88.011mm","82.931mm","88.011mm","79.121mm","90.551mm","T","0","Cherry_MX",
"S4","Cherry-MX_PCB-Mounted","102.108mm","88.011mm","102.108mm","88.011mm","98.298mm","90.551mm","T","0","Cherry_MX",
"S5","Cherry-MX_PCB-Mounted","121.158mm","88.011mm","121.158mm","88.011mm","117.348mm","90.551mm","T","0","Cherry_MX",
"S6","Cherry-MX_PCB-Mounted","140.208mm","88.011mm","140.208mm","88.011mm","136.398mm","90.551mm","T","0","Cherry_MX",
"S7","Cherry-MX_PCB-Mounted","159.258mm","88.011mm","159.258mm","88.011mm","155.448mm","90.551mm","T","0","Cherry_MX",
"S8","Cherry-MX_PCB-Mounted","178.308mm","88.011mm","178.308mm","88.011mm","174.498mm","90.551mm","T","0","Cherry_MX",
"S9","Cherry-MX_PCB-Mounted","49.784mm","68.961mm","49.784mm","68.961mm","45.974mm","71.501mm","T","0","Cherry_MX",
"S10","Cherry-MX_PCB-Mounted","73.533mm","68.961mm","73.533mm","68.961mm","69.723mm","71.501mm","T","0","Cherry_MX",
"S11","Cherry-MX_PCB-Mounted","92.583mm","68.961mm","92.583mm","68.961mm","88.773mm","71.501mm","T","0","Cherry_MX",
"S12","Cherry-MX_PCB-Mounted","111.633mm","68.961mm","111.633mm","68.961mm","107.823mm","71.501mm","T","0","Cherry_MX",
"S13","Cherry-MX_PCB-Mounted","130.683mm","68.961mm","130.683mm","68.961mm","126.873mm","71.501mm","T","0","Cherry_MX",
"S14","Cherry-MX_PCB-Mounted","149.733mm","68.961mm","149.733mm","68.961mm","145.923mm","71.501mm","T","0","Cherry_MX",
"S15","Cherry-MX_PCB-Mounted","168.783mm","68.961mm","168.783mm","68.961mm","164.973mm","71.501mm","T","0","Cherry_MX",
"S16","Cherry-MX_PCB-Mounted","187.833mm","68.961mm","187.833mm","68.961mm","184.023mm","71.501mm","T","0","Cherry_MX",
"S17","Cherry-MX_PCB-Mounted","52.07mm","49.911mm","52.07mm","49.911mm","48.26mm","52.451mm","T","0","Cherry_MX",
"S18","Cherry-MX_PCB-Mounted","78.232mm","49.911mm","78.232mm","49.911mm","74.422mm","52.451mm","T","0","Cherry_MX",
"S19","Cherry-MX_PCB-Mounted","97.282mm","49.911mm","97.282mm","49.911mm","93.472mm","52.451mm","T","0","Cherry_MX",
"S20","Cherry-MX_PCB-Mounted","116.332mm","49.911mm","116.332mm","49.911mm","112.522mm","52.451mm","T","0","Cherry_MX",
"S21","Cherry-MX_PCB-Mounted","135.382mm","49.911mm","135.382mm","49.911mm","131.572mm","52.451mm","T","0","Cherry_MX",
"S22","Cherry-MX_PCB-Mounted","154.432mm","49.911mm","154.432mm","49.911mm","150.622mm","52.451mm","T","0","Cherry_MX",
"S23","Cherry-MX_PCB-Mounted","173.482mm","49.911mm","173.482mm","49.911mm","169.672mm","52.451mm","T","0","Cherry_MX",
"S24","Cherry-MX_PCB-Mounted","192.532mm","49.911mm","192.532mm","49.911mm","188.722mm","52.451mm","T","0","Cherry_MX",
"S25","Cherry-MX_PCB-Mounted","56.769mm","30.861mm","56.769mm","30.861mm","52.959mm","33.401mm","T","0","Cherry_MX",
"S26","Cherry-MX_PCB-Mounted","87.757mm","30.734mm","87.757mm","30.734mm","83.947mm","33.274mm","T","0","Cherry_MX",
"S27","Cherry-MX_PCB-Mounted","106.807mm","30.734mm","106.807mm","30.734mm","102.997mm","33.274mm","T","0","Cherry_MX",
"S28","Cherry-MX_PCB-Mounted","125.984mm","30.861mm","125.984mm","30.861mm","122.174mm","33.401mm","T","0","Cherry_MX",
"S29","Cherry-MX_PCB-Mounted","144.907mm","30.861mm","144.907mm","30.861mm","141.097mm","33.401mm","T","0","Cherry_MX",
"S30","Cherry-MX_PCB-Mounted","164.084mm","30.861mm","164.084mm","30.861mm","160.274mm","33.401mm","T","0","Cherry_MX",
"S31","Cherry-MX_PCB-Mounted","183.007mm","30.861mm","183.007mm","30.861mm","179.197mm","33.401mm","T","0","Cherry_MX",
"S32","Cherry-MX_PCB-Mounted","202.057mm","30.861mm","202.057mm","30.861mm","198.247mm","33.401mm","T","0","Cherry_MX",
"S34","Cherry-MX_PCB-Mounted","240.157mm","30.988mm","240.157mm","30.988mm","236.347mm","33.528mm","T","0","Cherry_MX",
"S35","Cherry-MX_PCB-Mounted","302.133mm","88.011mm","302.133mm","88.011mm","298.323mm","90.551mm","T","0","Cherry_MX",
"S36","Cherry-MX_PCB-Mounted","273.558mm","88.011mm","273.558mm","88.011mm","269.748mm","90.551mm","T","0","Cherry_MX",
"S37","Cherry-MX_PCB-Mounted","254.508mm","88.011mm","254.508mm","88.011mm","250.698mm","90.551mm","T","0","Cherry_MX",
"S38","Cherry-MX_PCB-Mounted","235.458mm","88.011mm","235.458mm","88.011mm","231.648mm","90.551mm","T","0","Cherry_MX",
"S39","Cherry-MX_PCB-Mounted","216.408mm","88.011mm","216.408mm","88.011mm","212.598mm","90.551mm","T","0","Cherry_MX",
"S40","Cherry-MX_PCB-Mounted","197.358mm","88.011mm","197.358mm","88.011mm","193.548mm","90.551mm","T","0","Cherry_MX",
"S41","Cherry-MX_PCB-Mounted","47.371mm","11.811mm","47.371mm","11.811mm","43.561mm","14.351mm","T","0","Cherry_MX",
"S42","Cherry-MX_PCB-Mounted","71.12mm","11.811mm","71.12mm","11.811mm","67.31mm","14.351mm","T","0","Cherry_MX",
"S43","Cherry-MX_PCB-Mounted","94.996mm","11.811mm","94.996mm","11.811mm","91.186mm","14.351mm","T","0","Cherry_MX",
"S44","Cherry-MX_PCB-Mounted","166.37mm","11.811mm","166.37mm","11.811mm","162.56mm","14.351mm","T","0","Cherry_MX",
"S45","Cherry-MX_PCB-Mounted","309.245mm","11.811mm","309.245mm","11.811mm","305.435mm","14.351mm","T","0","Cherry_MX",
"S46","Cherry-MX_PCB-Mounted","285.369mm","11.811mm","285.369mm","11.811mm","281.559mm","14.351mm","T","0","Cherry_MX",
"S47","Cherry-MX_PCB-Mounted","261.62mm","11.811mm","261.62mm","11.811mm","257.81mm","14.351mm","T","0","Cherry_MX",
"S48","Cherry-MX_PCB-Mounted","237.744mm","11.811mm","237.744mm","11.811mm","233.934mm","14.351mm","T","0","Cherry_MX",
"S50","Cherry-MX_PCB-Mounted","221.107mm","30.861mm","221.107mm","30.861mm","217.297mm","33.401mm","T","0","Cherry_MX",
"S51","Cherry-MX_PCB-Mounted","306.832mm","68.961mm","306.832mm","68.961mm","303.022mm","71.501mm","T","0","Cherry_MX",
"S52","Cherry-MX_PCB-Mounted","283.083mm","68.961mm","283.083mm","68.961mm","279.273mm","71.501mm","T","0","Cherry_MX",
"S53","Cherry-MX_PCB-Mounted","264.033mm","68.961mm","264.033mm","68.961mm","260.223mm","71.501mm","T","0","Cherry_MX",
"S54","Cherry-MX_PCB-Mounted","244.983mm","68.961mm","244.983mm","68.961mm","241.173mm","71.501mm","T","0","Cherry_MX",
"S55","Cherry-MX_PCB-Mounted","225.933mm","68.961mm","225.933mm","68.961mm","222.123mm","71.501mm","T","0","Cherry_MX",
"S56","Cherry-MX_PCB-Mounted","206.883mm","68.961mm","206.883mm","68.961mm","203.073mm","71.501mm","T","0","Cherry_MX",
"S58","Cherry-MX_PCB-Mounted","259.207mm","30.861mm","259.207mm","30.861mm","255.397mm","33.401mm","T","0","Cherry_MX",
"S59","Cherry-MX_PCB-Mounted","299.72mm","49.911mm","299.72mm","49.911mm","295.91mm","52.451mm","T","0","Cherry_MX",
"S60","Cherry-MX_PCB-Mounted","294.894mm","30.861mm","294.894mm","30.861mm","291.084mm","33.401mm","T","0","Cherry_MX",
"S61","Cherry-MX_PCB-Mounted","268.732mm","49.911mm","268.732mm","49.911mm","264.922mm","52.451mm","T","0","Cherry_MX",
"S62","Cherry-MX_PCB-Mounted","249.682mm","49.911mm","249.682mm","49.911mm","245.872mm","52.451mm","T","0","Cherry_MX",
"S63","Cherry-MX_PCB-Mounted","230.632mm","49.911mm","230.632mm","49.911mm","226.822mm","52.451mm","T","0","Cherry_MX",
"S64","Cherry-MX_PCB-Mounted","211.582mm","49.911mm","211.582mm","49.911mm","207.772mm","52.451mm","T","0","Cherry_MX",
"U5","OLED_4P","17.653mm","97.282mm","17.653mm","97.282mm","13.843mm","97.282mm","T","0","Oled_0.96_4P",
"U6","6.25卫星轴","166.37mm","11.859mm","166.37mm","11.859mm","116.37mm","3.579mm","T","0","6.25u卫星轴",
"U8","2U卫星轴","294.894mm","30.861mm","294.894mm","30.861mm","282.989mm","22.651mm","T","0","2U卫星轴",
"U9","2U卫星轴","299.72mm","49.911mm","299.72mm","49.911mm","287.815mm","41.701mm","T","0","2U卫星轴",
"U10","2U卫星轴","302.133mm","88.011mm","302.133mm","88.011mm","290.228mm","79.801mm","T","0","2U卫星轴",
